cycle,input_q15,output_q15,accumulator_q34
1.570000000000000000e+02,-1.441600000000000000e+04,-4.020000000000000000e+02,-2.107456660000000000e+08
1.580000000000000000e+02,-1.617600000000000000e+04,-6.220000000000000000e+02,-3.258788880000000000e+08
1.590000000000000000e+02,-1.137800000000000000e+04,-5.780000000000000000e+02,-3.028391250000000000e+08
1.600000000000000000e+02,-2.351400000000000000e+04,-2.650000000000000000e+02,-1.390620790000000000e+08
1.610000000000000000e+02,-1.784800000000000000e+04,1.990000000000000000e+02,1.045921430000000000e+08
1.620000000000000000e+02,3.157000000000000000e+03,6.190000000000000000e+02,3.246915430000000000e+08
1.630000000000000000e+02,3.354000000000000000e+03,7.960000000000000000e+02,4.171083180000000000e+08
1.640000000000000000e+02,6.542000000000000000e+03,6.190000000000000000e+02,3.245267500000000000e+08
1.650000000000000000e+02,2.532600000000000000e+04,1.300000000000000000e+02,6.830526300000000000e+07
1.660000000000000000e+02,2.135000000000000000e+04,-4.810000000000000000e+02,-2.519233470000000000e+08
1.670000000000000000e+02,7.022000000000000000e+03,-9.410000000000000000e+02,-4.934513190000000000e+08
1.680000000000000000e+02,1.118400000000000000e+04,-1.011000000000000000e+03,-5.300447440000000000e+08
1.690000000000000000e+02,2.758000000000000000e+03,-5.970000000000000000e+02,-3.132127240000000000e+08
1.700000000000000000e+02,-1.934700000000000000e+04,1.770000000000000000e+02,9.267213400000000000e+07
1.710000000000000000e+02,-1.727500000000000000e+04,9.940000000000000000e+02,5.213788010000000000e+08
1.720000000000000000e+02,-1.221000000000000000e+04,1.456000000000000000e+03,7.635630000000000000e+08
1.730000000000000000e+02,-2.257200000000000000e+04,1.252000000000000000e+03,6.566198360000000000e+08
1.740000000000000000e+02,-1.248700000000000000e+04,3.310000000000000000e+02,1.733555810000000000e+08
1.750000000000000000e+02,8.192000000000000000e+03,-1.010000000000000000e+03,-5.297401060000000000e+08
1.760000000000000000e+02,6.456000000000000000e+03,-2.159000000000000000e+03,-1.132067893000000000e+09
1.770000000000000000e+02,1.062800000000000000e+04,-2.365000000000000000e+03,-1.240012396000000000e+09
1.780000000000000000e+02,2.703400000000000000e+04,-1.008000000000000000e+03,-5.282773740000000000e+08
1.790000000000000000e+02,1.830400000000000000e+04,2.124000000000000000e+03,1.113811916000000000e+09
1.800000000000000000e+02,3.765000000000000000e+03,6.651000000000000000e+03,3.486785085000000000e+09
1.810000000000000000e+02,7.686000000000000000e+03,1.159500000000000000e+04,6.079110414000000000e+09
1.820000000000000000e+02,-3.291000000000000000e+03,1.559100000000000000e+04,8.174103251000000000e+09
1.830000000000000000e+02,-2.327600000000000000e+04,1.725500000000000000e+04,9.046504407000000000e+09
1.840000000000000000e+02,-1.727500000000000000e+04,1.562800000000000000e+04,8.193781143000000000e+09
1.850000000000000000e+02,-1.207100000000000000e+04,1.054500000000000000e+04,5.528491903000000000e+09
1.860000000000000000e+02,-2.037500000000000000e+04,2.795000000000000000e+03,1.465200664000000000e+09
1.870000000000000000e+02,-6.424000000000000000e+03,-5.985000000000000000e+03,-3.137618360000000000e+09
1.880000000000000000e+02,1.293600000000000000e+04,-1.369100000000000000e+04,-7.177996295000000000e+09
1.890000000000000000e+02,9.069000000000000000e+03,-1.831600000000000000e+04,-9.602853213000000000e+09
1.900000000000000000e+02,1.388300000000000000e+04,-1.852000000000000000e+04,-9.709772689000000000e+09
1.910000000000000000e+02,2.724700000000000000e+04,-1.405500000000000000e+04,-7.368796401000000000e+09
1.920000000000000000e+02,1.412200000000000000e+04,-5.900000000000000000e+03,-3.093235766000000000e+09
1.930000000000000000e+02,5.900000000000000000e+01,3.948000000000000000e+03,2.069711745000000000e+09
1.940000000000000000e+02,3.848000000000000000e+03,1.297700000000000000e+04,6.803527157000000000e+09
1.950000000000000000e+02,-9.025000000000000000e+03,1.882700000000000000e+04,9.870734818000000000e+09
1.960000000000000000e+02,-2.596500000000000000e+04,1.993000000000000000e+04,1.044882635600000000e+10
1.970000000000000000e+02,-1.613400000000000000e+04,1.594300000000000000e+04,8.358618509000000000e+09
1.980000000000000000e+02,-1.099200000000000000e+04,7.856000000000000000e+03,4.118918281000000000e+09
1.990000000000000000e+02,-1.708800000000000000e+04,-2.264000000000000000e+03,-1.187182365000000000e+09
2.000000000000000000e+02,0.000000000000000000e+00,-1.182100000000000000e+04,-6.197366069000000000e+09
2.010000000000000000e+02,1.708800000000000000e+04,-1.836500000000000000e+04,-9.628797980000000000e+09
2.020000000000000000e+02,1.099200000000000000e+04,-2.024200000000000000e+04,-1.061238095000000000e+10
2.030000000000000000e+02,1.613400000000000000e+04,-1.700100000000000000e+04,-8.913167384000000000e+09
2.040000000000000000e+02,2.596500000000000000e+04,-9.503000000000000000e+03,-4.982342930000000000e+09
2.050000000000000000e+02,9.025000000000000000e+03,3.220000000000000000e+02,1.687060460000000000e+08
2.060000000000000000e+02,-3.848000000000000000e+03,9.986000000000000000e+03,5.235327005000000000e+09
2.070000000000000000e+02,-5.900000000000000000e+01,1.707800000000000000e+04,8.953970282000000000e+09
2.080000000000000000e+02,-1.412200000000000000e+04,1.986900000000000000e+04,1.041685349500000000e+10
2.090000000000000000e+02,-2.724700000000000000e+04,1.771900000000000000e+04,9.289809335000000000e+09
2.100000000000000000e+02,-1.388300000000000000e+04,1.122000000000000000e+04,5.882582949000000000e+09
2.110000000000000000e+02,-9.069000000000000000e+03,2.020000000000000000e+03,1.059118796000000000e+09
2.120000000000000000e+02,-1.293600000000000000e+04,-7.599000000000000000e+03,-3.984022711000000000e+09
2.130000000000000000e+02,6.424000000000000000e+03,-1.528400000000000000e+04,-8.013395769000000000e+09
2.140000000000000000e+02,2.037500000000000000e+04,-1.918200000000000000e+04,-1.005685888300000000e+10
2.150000000000000000e+02,1.207100000000000000e+04,-1.837400000000000000e+04,-9.633320422000000000e+09
2.160000000000000000e+02,1.727500000000000000e+04,-1.308700000000000000e+04,-6.861566044000000000e+09
2.170000000000000000e+02,2.327600000000000000e+04,-4.627000000000000000e+03,-2.425872441000000000e+09
2.180000000000000000e+02,3.291000000000000000e+03,4.943000000000000000e+03,2.591405736000000000e+09
2.190000000000000000e+02,-7.686000000000000000e+03,1.329500000000000000e+04,6.970614712000000000e+09
2.200000000000000000e+02,-3.765000000000000000e+03,1.840100000000000000e+04,9.647416165000000000e+09
2.210000000000000000e+02,-1.830400000000000000e+04,1.901300000000000000e+04,9.968174129000000000e+09
2.220000000000000000e+02,-2.703400000000000000e+04,1.497100000000000000e+04,7.848871065000000000e+09
2.230000000000000000e+02,-1.062800000000000000e+04,7.246000000000000000e+03,3.798928085000000000e+09
2.240000000000000000e+02,-6.456000000000000000e+03,-2.285000000000000000e+03,-1.198239680000000000e+09
2.250000000000000000e+02,-8.192000000000000000e+03,-1.129300000000000000e+04,-5.920782954000000000e+09
2.260000000000000000e+02,1.248700000000000000e+04,-1.755700000000000000e+04,-9.204765848000000000e+09
2.270000000000000000e+02,2.257200000000000000e+04,-1.951400000000000000e+04,-1.023099530600000000e+10
2.280000000000000000e+02,1.221000000000000000e+04,-1.665400000000000000e+04,-8.731463861000000000e+09
2.290000000000000000e+02,1.727500000000000000e+04,-9.654000000000000000e+03,-5.061656512000000000e+09
2.300000000000000000e+02,1.934700000000000000e+04,-2.270000000000000000e+02,-1.189554950000000000e+08
2.310000000000000000e+02,-2.758000000000000000e+03,9.298000000000000000e+03,4.874955861000000000e+09
2.320000000000000000e+02,-1.118400000000000000e+04,1.654900000000000000e+04,8.676691402000000000e+09
2.330000000000000000e+02,-7.022000000000000000e+03,1.970800000000000000e+04,1.033278923600000000e+10
2.340000000000000000e+02,-2.135000000000000000e+04,1.796900000000000000e+04,9.420870591000000000e+09
2.350000000000000000e+02,-2.532600000000000000e+04,1.174800000000000000e+04,6.159399685000000000e+09
2.360000000000000000e+02,-6.542000000000000000e+03,2.587000000000000000e+03,1.356560960000000000e+09
2.370000000000000000e+02,-3.354000000000000000e+03,-7.231000000000000000e+03,-3.791051636000000000e+09
2.380000000000000000e+02,-3.157000000000000000e+03,-1.525600000000000000e+04,-7.998445536000000000e+09
2.390000000000000000e+02,1.784800000000000000e+04,-1.948300000000000000e+04,-1.021469539800000000e+10
2.400000000000000000e+02,2.351400000000000000e+04,-1.885800000000000000e+04,-9.887174071000000000e+09
2.410000000000000000e+02,1.137800000000000000e+04,-1.354200000000000000e+04,-7.099936598000000000e+09
2.420000000000000000e+02,1.617600000000000000e+04,-4.865000000000000000e+03,-2.550901526000000000e+09
2.430000000000000000e+02,1.441600000000000000e+04,5.006000000000000000e+03,2.624571453000000000e+09
2.440000000000000000e+02,-8.776000000000000000e+03,1.361600000000000000e+04,7.138446487000000000e+09
2.450000000000000000e+02,-1.408800000000000000e+04,1.882900000000000000e+04,9.871907832000000000e+09
2.460000000000000000e+02,-9.614000000000000000e+03,1.936500000000000000e+04,1.015286889000000000e+10
2.470000000000000000e+02,-2.311000000000000000e+04,1.510600000000000000e+04,7.919790156000000000e+09
2.480000000000000000e+02,-2.220800000000000000e+04,7.121000000000000000e+03,3.733495373000000000e+09
2.490000000000000000e+02,-1.855000000000000000e+03,-2.603000000000000000e+03,-1.364760262000000000e+09
2.500000000000000000e+02,0.000000000000000000e+00,-1.166000000000000000e+04,-6.113333121000000000e+09
2.510000000000000000e+02,1.855000000000000000e+03,-1.781900000000000000e+04,-9.342214218000000000e+09
2.520000000000000000e+02,2.220800000000000000e+04,-1.956900000000000000e+04,-1.025988595300000000e+10
2.530000000000000000e+02,2.311000000000000000e+04,-1.649100000000000000e+04,-8.646155555000000000e+09
2.540000000000000000e+02,9.614000000000000000e+03,-9.354000000000000000e+03,-4.904082090000000000e+09
2.550000000000000000e+02,1.408800000000000000e+04,7.900000000000000000e+01,4.147834600000000000e+07
2.560000000000000000e+02,8.776000000000000000e+03,9.483000000000000000e+03,4.971981344000000000e+09
2.570000000000000000e+02,-1.441600000000000000e+04,1.654400000000000000e+04,8.674074973000000000e+09
2.580000000000000000e+02,-1.617600000000000000e+04,1.952600000000000000e+04,1.023728025300000000e+10
2.590000000000000000e+02,-1.137800000000000000e+04,1.769500000000000000e+04,9.277257031000000000e+09
2.600000000000000000e+02,-2.351400000000000000e+04,1.150100000000000000e+04,6.029707521000000000e+09
2.610000000000000000e+02,-1.784800000000000000e+04,2.467000000000000000e+03,1.293220294000000000e+09
2.620000000000000000e+02,3.157000000000000000e+03,-7.183000000000000000e+03,-3.765900266000000000e+09
2.630000000000000000e+02,3.354000000000000000e+03,-1.506800000000000000e+04,-7.900159818000000000e+09
2.640000000000000000e+02,6.542000000000000000e+03,-1.924100000000000000e+04,-1.008799672000000000e+10
2.650000000000000000e+02,2.532600000000000000e+04,-1.866500000000000000e+04,-9.785785314000000000e+09
2.660000000000000000e+02,2.135000000000000000e+04,-1.347300000000000000e+04,-7.063809594000000000e+09
2.670000000000000000e+02,7.022000000000000000e+03,-4.942000000000000000e+03,-2.590997214000000000e+09
2.680000000000000000e+02,1.118400000000000000e+04,4.824000000000000000e+03,2.529140909000000000e+09
2.690000000000000000e+02,2.758000000000000000e+03,1.340900000000000000e+04,7.030177171000000000e+09
2.700000000000000000e+02,-1.934700000000000000e+04,1.868400000000000000e+04,9.795963354000000000e+09
2.710000000000000000e+02,-1.727500000000000000e+04,1.933700000000000000e+04,1.013830484400000000e+10
2.720000000000000000e+02,-1.221000000000000000e+04,1.519900000000000000e+04,7.968909406000000000e+09
2.730000000000000000e+02,-2.257200000000000000e+04,7.291000000000000000e+03,3.822438494000000000e+09
2.740000000000000000e+02,-1.248700000000000000e+04,-2.432000000000000000e+03,-1.274917643000000000e+09
2.750000000000000000e+02,8.192000000000000000e+03,-1.155700000000000000e+04,-6.059401976000000000e+09
2.760000000000000000e+02,6.456000000000000000e+03,-1.782200000000000000e+04,-9.343983087000000000e+09
2.770000000000000000e+02,1.062800000000000000e+04,-1.967100000000000000e+04,-1.031333474400000000e+10
2.780000000000000000e+02,2.703400000000000000e+04,-1.664400000000000000e+04,-8.726363779000000000e+09
2.790000000000000000e+02,1.830400000000000000e+04,-9.492000000000000000e+03,-4.976550208000000000e+09
2.800000000000000000e+02,3.765000000000000000e+03,1.100000000000000000e+01,5.820246000000000000e+06
